pr_number,merged_at,author,title
31848,2024-12-19T01:10:03Z,poteto,[ci] Don't cancel runs if more than one branch triggers CI
31847,2024-12-19T01:09:50Z,poteto,[ci] Validate downloaded build artifact
31846,2024-12-19T01:09:09Z,poteto,[ci] Allow build artifacts to be downloaded from any branch
31839,2024-12-18T22:51:12Z,rickhanlonii,[flags] Remove debugRenderPhaseSideEffectsForStrictMode
31845,2024-12-18T22:43:50Z,gnoff,(cherrypick) [Flight Reply] Reject any new Chunks not yet discovered at the time of reportGlobalError (#31840)
31842,2024-12-18T22:07:28Z,gnoff,Cherry-pick #31840 in sync-nextjs-14
31841,2024-12-18T21:26:00Z,gnoff,restore next14 sync base branch
31840,2024-12-18T20:56:57Z,gnoff,[Flight Reply] Reject any new Chunks not yet discovered at the time of reportGlobalError
31837,2024-12-18T20:29:16Z,eps1lon,Allow `<script>` and `<template>` tags in `<select>` tag
31838,2024-12-18T19:45:38Z,rickhanlonii,[flags] Remove enableModernStrictMode
31825,2024-12-18T18:29:41Z,rickhanlonii,[tests] <StrictMode /> nested in tree is broken
31826,2024-12-18T18:29:22Z,rickhanlonii,[flags] Delete enableSchedulerDebugger
31833,2024-12-18T15:35:02Z,unstubbable,[Flight] Fix double-incremented pending chunks counter
31808,2024-12-18T13:08:56Z,eps1lon,Ensure function arity is preserved after build
31788,2024-12-18T00:46:04Z,sebmarkbage,[Fiber] Log Effect and Render Times in Offscreen Commit Phase
31785,2024-12-17T22:01:32Z,sebmarkbage,[Fiber] Schedule passive effects using the regular ensureRootIsScheduled flow
31787,2024-12-17T21:49:01Z,sebmarkbage,[Scheduler] Always yield to native macro tasks when a virtual task completes
31810,2024-12-17T16:56:00Z,jackpope,Clean up enableLazyContextPropagation
31814,2024-12-17T15:27:46Z,rickhanlonii,[flags] Clean up scheduler flags
31761,2024-12-17T03:52:19Z,rickhanlonii,Enable debugRenderPhaseSideEffectsForStrictMode in test renderers
31804,2024-12-17T03:51:16Z,rickhanlonii,Enable disableDefaultPropsExceptForClasses
